Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contracting_Office,DUNS,Contract_Date,Vendor
AGENCY FOR INTERNATIONAL DEVELOPMENT,250000000,MARYLAND,USA,8,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,66781956,2011,"DEVELOPMENT ALTERNATIVES, INC."
AGENCY FOR INTERNATIONAL DEVELOPMENT,100000000,VIRGINIA,USA,10,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,42424338,2011,"LEE TECHNOLOGIES SERVICES, INC."
AGENCY FOR INTERNATIONAL DEVELOPMENT,50000000,VIRGINIA,USA,8,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,9585279,2011,"TETRA TECH ES, INC."
AGENCY FOR INTERNATIONAL DEVELOPMENT,1000000,DISTRICT OF COLUMBIA,USA,0,AGENCY FOR INTERNATIONAL DEVELOPMENT,AGENCY FOR INTERNATIONAL DEVELOPMENT,788395994,2011,SIBLEY INTERNATIONAL CORP.
AGRICULTURAL MARKETING SERVICE,132978034,CALIFORNIA,USA,17,AGRICULTURAL MARKETING SERVICE,AMS 3J16,76126317,2011,"INN FOODS, INC."
AGRICULTURAL MARKETING SERVICE,30748493,CALIFORNIA,USA,17,AGRICULTURAL MARKETING SERVICE,AMS 3J16,81448284,2011,"V. J. CATALANO, INC."
AGRICULTURAL RESEARCH SERVICE,80000000000,CALIFORNIA,USA,11,AGRICULTURAL RESEARCH SERVICE,USDA ARS PWA 91H2,111653155,2011,"HITACHI HIGH TECHNOLOGIES AMERICA, INC"
AGRICULTURAL RESEARCH SERVICE,9000000000,NORTH CAROLINA,USA,11,AGRICULTURAL RESEARCH SERVICE,USDA ARS SEA 4431,170755479,2011,THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC
AGRICULTURAL RESEARCH SERVICE,1600000000,CONNECTICUT,USA,4,AGRICULTURAL RESEARCH SERVICE,USDA ARS APD 3K06,1184480,2011,APPLERA CORPORATION
AGRICULTURAL RESEARCH SERVICE,877932849,ALABAMA,USA,3,AGRICULTURAL RESEARCH SERVICE,USDA ARS SEA 4463,66470972,2011,AUBURN UNIVERSITY
AGRICULTURAL RESEARCH SERVICE,130000000,VIRGINIA,USA,8,AGRICULTURAL RESEARCH SERVICE,USDA ARS FD 3K15,173361601,2011,JACOBS FACILITIES INCORPORATED
AGRICULTURAL RESEARCH SERVICE,100000000,TEXAS,USA,17,AGRICULTURAL RESEARCH SERVICE,USDA ARS PA 7D74,27133453,2011,COUFAL-PRATER EQUIPMENT LTD
AGRICULTURAL RESEARCH SERVICE,1400000,ILLINOIS,USA,7,AGRICULTURAL RESEARCH SERVICE,USDA ARS MWA 5114,845976976,2011,BAILEY EDWARD DESIGN INCORPORATED
AGRICULTURAL RESEARCH SERVICE,400000,NEW HAMPSHIRE,USA,1,AGRICULTURAL RESEARCH SERVICE,USDA ARS APD 3K06,932548233,2011,APTITUNE CORPORATION
AGRICULTURAL RESEARCH SERVICE,200000,NEBRASKA,USA,3,AGRICULTURAL RESEARCH SERVICE,USDA ARS MWA 5114,162032762,2011,"LARSEN, ROBERT DALE"
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,2213644032,ILLINOIS,USA,10,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,ANIMAL & PLANT HLTH INSPECT SVC,26157235,2011,CDW GOVERNMENT LLC
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,143638000,OHIO,USA,2,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,USDA APHIS MRPBS,66132549,2011,"MERIDIAN LIFE SCIENCE, INC."
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,1300000,TEXAS,USA,8,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,USDA APHIS MRPBS,133339205,2011,"LONE STAR LIVESTOCK EQUIPMENT CO., INC."
ATF ACQUISITION AND PROPERTY MGMT DIV,864000,VIRGINIA,USA,8,ATF ACQUISITION AND PROPERTY MGMT DIV,ATF LOGISTICS AND ACQUISITIONS DIVISION,141611272,2011,"NVE, INC"
ATF ACQUISITION AND PROPERTY MGMT DIV,150000,FLORIDA,USA,4,ATF ACQUISITION AND PROPERTY MGMT DIV,ATF LOGISTICS AND ACQUISITIONS DIVISION,90225694,2011,"ANDERSON, GLEN"
